scenario,ip_cov_target,ip_cov_realized,eps_jump,likelihood,method,cover_f1,shd,feas
eip_slb_ecs,0.9,1.0,0.005,baseline,heuristics_miner,0.5263157894736842,9,0.0
eip_slb_ecs,0.9,1.0,0.01,baseline,majority,0.22222222222222224,14,0.0
eip_slb_ecs,0.9,1.0,0.01,baseline,inductive_miner_imf,0.3529411764705882,11,1.0
eip_slb_ecs,0.9,1.0,0.01,baseline,heuristics_miner,0.5263157894736842,9,0.0
eip_slb_ecs,0.9,1.0,0.02,baseline,majority,0.22222222222222224,14,0.0
eip_slb_ecs,0.9,1.0,0.02,baseline,inductive_miner_imf,0.3529411764705882,11,1.0
eip_slb_ecs,0.9,1.0,0.02,baseline,heuristics_miner,0.5263157894736842,9,0.0
eip_slb_ecs,0.9,1.0,0.05,baseline,majority,0.22222222222222224,14,0.0
eip_slb_ecs,0.9,1.0,0.05,baseline,inductive_miner_imf,0.3529411764705882,11,1.0
eip_slb_ecs,0.9,1.0,0.05,baseline,heuristics_miner,0.5263157894736842,9,0.0
simple_ecs,0.9,1.0,0.005,baseline,majority,1.0,0,1.0
simple_ecs,0.9,1.0,0.005,baseline,inductive_miner_imf,0.7272727272727272,3,1.0
simple_ecs,0.9,1.0,0.005,baseline,heuristics_miner,0.6666666666666665,3,0.5
simple_ecs,0.9,1.0,0.01,baseline,majority,1.0,0,1.0
simple_ecs,0.9,1.0,0.01,baseline,inductive_miner_imf,0.7272727272727272,3,1.0
simple_ecs,0.9,1.0,0.01,baseline,heuristics_miner,0.6666666666666665,3,0.5
simple_ecs,0.9,1.0,0.02,baseline,majority,1.0,0,1.0
simple_ecs,0.9,1.0,0.02,baseline,inductive_miner_imf,0.7272727272727272,3,1.0
simple_ecs,0.9,1.0,0.02,baseline,heuristics_miner,0.6666666666666665,3,0.5
simple_ecs,0.9,1.0,0.05,baseline,majority,1.0,0,1.0
simple_ecs,0.9,1.0,0.05,baseline,inductive_miner_imf,0.7272727272727272,3,1.0
simple_ecs,0.9,1.0,0.05,baseline,heuristics_miner,0.6666666666666665,3,0.5
slb_ecs_rds,0.9,0.9375,0.005,baseline,majority,0.6206896551724138,11,0.0
slb_ecs_rds,0.9,0.9375,0.005,baseline,inductive_miner_imf,0.23999999999999996,19,1.0
slb_ecs_rds,0.9,0.9375,0.005,baseline,heuristics_miner,0.5714285714285714,12,0.0
slb_ecs_rds,0.9,0.9375,0.01,baseline,majority,0.6206896551724138,11,0.0
slb_ecs_rds,0.9,0.9375,0.01,baseline,inductive_miner_imf,0.23999999999999996,19,1.0
slb_ecs_rds,0.9,0.9375,0.01,baseline,heuristics_miner,0.5714285714285714,12,0.0
slb_ecs_rds,0.9,0.9375,0.02,baseline,majority,0.6206896551724138,11,0.0
slb_ecs_rds,0.9,0.9375,0.02,baseline,inductive_miner_imf,0.23999999999999996,19,1.0
slb_ecs_rds,0.9,0.9375,0.02,baseline,heuristics_miner,0.5714285714285714,12,0.0
slb_ecs_rds,0.9,0.9375,0.05,baseline,majority,0.6206896551724138,11,0.0
